block_id,cluster_id
blk_38865049064139660,1
blk_-6952295868487656571,1
blk_7128370237687728475,2
blk_8229193803249955061,1
blk_-6670958622368987959,1
blk_3050920587428079149,2
blk_7888946331804732825,2
blk_2377150260128098806,2
blk_572492839287299681,1
blk_3587508140051953248,6
blk_5402003568334525940,6
blk_5792489080791696128,7
blk_1724757848743533110,7
blk_8015913224713045110,2
blk_-5623176793330377570,7
blk_-1727475099218615100,8
blk_5017373558217225674,1
blk_9212264480425680329,6
blk_-7878121102358435702,8
blk_4568434182693165548,2
blk_-5704899712662113150,6
blk_-4794867979917102672,2
blk_8763662564934652249,2
blk_-5861636720645142679,6
blk_7453815855294711849,2
blk_-28342503914935090,7
blk_8291449241650212794,6
blk_-5319073033164653435,8
blk_-4980916519894289629,-1
blk_-5974833545991408899,6
blk_-5009020203888190378,7
blk_6921674711959888070,6
blk_5165786360127153975,2
blk_2937758977269298350,7
blk_673825774073966710,2
blk_-7526945448667194862,6
blk_-2094397855762091248,6
blk_-8523968015014407246,6
blk_8181993091797661153,2
blk_-6276023454199613372,7
blk_4755566011267050000,6
blk_-3909548841543565741,6
blk_-6809181994368905854,7
blk_8829027411458566099,6
blk_-29548654251973735,2
blk_-5073870177832699716,1
blk_-8241093737585222406,6
blk_-2480595760294717232,2
blk_7791237942696729620,1
blk_2113880130496815041,2
blk_1064470652608359218,6
blk_-1661553043410372067,2
blk_-1527267659500322006,1
blk_4886940526690879848,1
blk_-2452477352812192142,6
blk_-4229375751333894621,1
blk_-774267833966018354,7
blk_2513940824125131775,8
blk_-1282453782148343691,8
blk_-518701095493827363,6
blk_-2530087534157630851,2
blk_427714267500527780,2
blk_-967145856473901804,6
blk_8408125361497769001,6
blk_-1614641487214609125,6
blk_7577595658377008671,6
blk_3777400576053320362,6
blk_-5852844080027817147,1
blk_-2129171714384027465,6
blk_-2827716238972737794,-1
blk_-3509323198988774369,7
blk_9093049293972551787,1
blk_1781953582842324563,4
blk_-7724713468912166542,7
blk_-3358448553918665902,-1
blk_-5341992729755584578,7
blk_3166960787499091856,7
blk_-2918118818249673980,0
blk_8376667364205250596,0
blk_-2794533871450434534,7
blk_3763728533434719668,0
blk_6241141267506413726,0
blk_-6520030462660619051,-1
blk_8466246428293623262,0
blk_-3140754468249228022,0
blk_3441699978641526775,0
blk_5739119717322549945,7
blk_-305633040016166849,0
blk_-6290631608800952376,0
blk_8787656642683881295,-1
blk_-4841792440390267307,0
blk_5126469776250053435,0
blk_-2032740670708110312,0
blk_-62891505109755100,0
blk_2244903517044280975,0
blk_5905933788014151041,0
blk_6296828743242110158,7
blk_2969087638814291714,0
blk_2879780987351022871,0
blk_4934527196392001803,0
blk_7517964792804498202,0
blk_7940316270494947483,0
blk_7154985168984871115,0
blk_-6867873931012347356,6
blk_6093743385844975689,2
blk_8692428775973608797,7
blk_-6837050820114491742,1
blk_-5195432543794777448,6
blk_1636660629634995787,2
blk_467589865104023338,2
blk_7929144620252342335,6
blk_-1798958443298220150,7
blk_-54240672253074715,1
blk_-7172347691639518373,-1
blk_-6412155847905320411,7
blk_699651392443620263,7
blk_-8788032532930439012,7
blk_-3455521536483250153,6
blk_-7017553867379051457,2
blk_-1259190292740306590,7
blk_-6620182933895093708,8
blk_2028803850179311599,1
blk_-8562334328670278932,7
blk_-8108913101671416218,1
blk_-7640601843607665080,1
blk_7654726977769174867,7
blk_8320088109701056055,1
blk_4585055992495043771,2
blk_-4330512786228504138,6
blk_4628142183191390143,2
blk_-6766351519628312408,1
blk_-476906696485288376,2
blk_-7436749154361133879,1
blk_7061131805920430446,7
blk_-684595390732854503,6
blk_-6956067134432991406,2
blk_549647953114643908,1
blk_559204981722276126,8
blk_-165500353496111884,1
blk_-7105305952901940477,8
blk_-9103764593642564543,7
blk_3160319368100972992,1
blk_-562725280853087685,6
blk_4568377692254637284,1
blk_-5217146995455608468,7
blk_7481361125021302112,2
blk_-71429470616906355,6
blk_-522892190802801712,7
blk_-3249711809227781266,2
blk_-6329494504520216748,7
blk_-207775976836691685,8
blk_5114010683183383297,2
blk_-7656610147924319419,1
blk_2096692261399680562,8
blk_-6500549130351529113,1
blk_-8255732027871411321,7
blk_-2896670847306153652,1
blk_-8856628810470361280,7
blk_3463540868626173125,-1
blk_-5309211894896608429,6
blk_-1055254430948037872,2
blk_3962600675982666210,7
blk_-730776401372551814,1
blk_-7553009628768897700,1
blk_3068335169639013019,6
blk_-9069971851590882719,2
blk_-8924134715029713489,2
blk_278357163850888,2
blk_-5135777574223073423,7
blk_-1148756466197125339,1
blk_9074030793567748915,1
blk_-4067446915270471579,-1
blk_3259872359515191972,1
blk_5963816136267066159,1
blk_-210021574616486609,8
blk_-1547954353065580372,-1
blk_-8524274644018377752,7
blk_-2015110815660478655,7
blk_7484759945731484842,6
blk_-4110733372292809607,2
blk_-7152190882826520998,6
blk_-6543889749770222531,7
blk_8772892713521115147,6
blk_-6979800421545566530,6
blk_8935202950442998446,8
blk_-4799092443170733505,1
blk_-3010126661650043258,8
blk_-5215520749152394224,1
blk_397848436489409658,1
blk_-9181958042427679309,2
blk_-5124326558394984439,6
blk_-4741127506068309449,2
blk_-4937215748597091532,1
blk_541463031152673662,2
blk_-7514806214244798312,6
blk_-7007208336332784130,6
blk_6996194389878584395,-1
blk_-6836642008179678048,2
blk_8060713381303305129,1
blk_5760391051658436046,7
blk_-7866582011201618766,8
blk_-7555801584297376435,2
blk_-5949883083428548093,2
blk_-9162090767925303921,8
blk_-4196449318426994195,1
blk_4238127626194855481,7
blk_-3805070405372551730,6
blk_-2013946318750925538,6
blk_3278280638950561822,1
blk_-26568864070436835,1
blk_-9161369067334198861,1
blk_-1094025072435547068,6
blk_6534693994677948144,6
blk_7672124247291403094,7
blk_-5569558931000121451,1
blk_-4566099704755845087,1
blk_-8093500164295459838,1
blk_-3787594914477940893,6
blk_426381928692704514,6
blk_-7413910507260978729,8
blk_4774656339381154282,1
blk_-8227485321105019293,7
blk_5210211633167259832,2
blk_2917692073041583988,1
blk_-8558845834445970595,2
blk_3852281952649038166,6
blk_-5442040196315589272,1
blk_-6486714614940767660,7
blk_755689327380778318,1
blk_-8847552694913526632,6
blk_7736147489540456118,6
blk_-3677956642639780952,6
blk_3073404534069578592,2
blk_1498192967843651378,6
blk_148513789886825227,7
blk_7229716389774599497,7
blk_4741107979793372752,1
blk_691517018986659607,7
blk_6002109944224710483,2
blk_5095897972833086609,2
blk_-3802183646922512795,1
blk_9072829105973334075,2
blk_4841101867353115844,8
blk_1997668456720275587,1
blk_3304535870056962597,6
blk_-4853183643928986291,1
blk_6828121630547887549,2
blk_3084588477220583373,6
blk_-653434419514937486,1
blk_1104376461837247304,8
blk_-5511630179413516751,2
blk_4404895858852856851,1
blk_-591552904934794824,8
blk_-8408087700903896282,8
blk_-5404881839098659470,2
blk_703046261120042821,1
blk_-488298625688742454,8
blk_6465095458973828118,1
blk_-9110604833387121363,1
blk_5977008528949258706,7
blk_3781645897486585075,1
blk_-1635752698830216319,2
blk_3070718541088657475,1
blk_-1674094254141559552,8
blk_6080034782037237879,2
blk_-8645365827804358878,8
blk_3291173852929756766,8
blk_892900079071425422,6
blk_2243777557693112935,1
blk_-8192956077351896648,6
blk_5250287988089075029,6
blk_446513188203036714,2
blk_-2020273862360001901,6
blk_3338047823148530794,1
blk_4210124392039605712,8
blk_-6330812010936261924,2
blk_-8380267327243110056,8
blk_-8077373411465716253,2
blk_-9198375937828232046,1
blk_9107849594802857322,1
blk_271142976916798281,7
blk_4029732570544915384,6
blk_679168189072909208,1
blk_6285161494041403917,2
blk_-5306443381473737599,6
blk_-2466006073687914843,1
blk_-6995454028444097802,2
blk_344934934043642744,2
blk_4984720043834039361,2
blk_6398122733993275620,7
blk_325981833999429148,2
blk_2568309208894455676,3
blk_1078000656626961731,-1
blk_-6900989714336081087,0
blk_-8306714721294235181,7
blk_-8023826090828946372,0
blk_-1367876730256254709,0
blk_-3860894070657427592,7
blk_-7983508786213002472,0
blk_5454332143498402824,7
blk_-3384560576963801177,7
blk_-2901225370888235702,7
blk_3963698556744744747,-1
blk_2039230511363331616,7
blk_8482111101480751895,7
blk_-5919767990596301121,7
blk_8457344665564381337,7
blk_2986720270598512615,7
blk_-5719934513583495857,7
blk_-7680599654910200999,0
blk_-6050976999174805557,7
blk_1598414622053793245,7
blk_-7837339190764609698,7
blk_-8187008844253719581,-1
blk_4081177399275502985,7
blk_3515154079719300106,7
blk_5547569777499890340,0
blk_5385121219895615240,7
blk_-7658293778087733436,0
blk_3169060243663461885,0
blk_3087787567144441647,7
blk_-3657665801189425193,7
blk_-3457731723401426942,7
blk_6105506155797750768,7
blk_-8522942048313632858,0
blk_365496398062338141,7
blk_3979872751691718643,7
blk_-272707591443354058,0
blk_-8679916835272129336,0
blk_6106884317961925960,0
blk_6332892729727950039,0
blk_6655622109568310643,7
blk_-5935642747315643391,0
blk_-20269367189114433,0
blk_-7364557883931785608,7
blk_2322432806134104317,7
blk_4848669047361069041,7
blk_-1851265222873801714,0
blk_-8495670552887053546,0
blk_-7372087176866857012,0
blk_4357276972386184626,0
blk_-4590972095204776122,0
blk_-8277873627721528374,-1
blk_3797494971676497497,7
blk_805587860540600864,7
blk_3141363517520802396,-1
blk_-1383276859207001328,-1
blk_-4117999745005013424,-1
blk_4524198807982839635,0
blk_7505828172725463922,0
blk_424255210146453297,0
blk_666713934549639791,-1
blk_-2975629975082443857,7
blk_1686195200514944346,0
blk_4355450627202483068,7
blk_5952254363678329024,7
blk_-667933171485085225,0
blk_9188832735514090334,-1
blk_2273334621242106674,7
blk_3790492230047189408,0
blk_-2285729896739318683,7
blk_-1233005817943453613,5
blk_-8736461628840265232,5
blk_166171721314010075,5
blk_-3362838757940877177,5
blk_-8026264173633579073,5
blk_8350646254685996250,3
blk_-4702684774678057084,5
blk_434034567989619521,3
blk_413552235254424009,5
blk_7177118590277025973,5
blk_2576408434603492552,5
blk_356592557993755459,5
blk_9111860234027679206,5
blk_5178539130945718870,3
blk_-1331750856499198500,5
blk_-3792836284792472725,3
blk_6031076349976322578,5
blk_4438674026376140804,3
blk_1777689952069868672,5
blk_-3275788837420923000,5
blk_-6056336045486998577,5
blk_-5368528328022648701,5
blk_-9056276727170871967,5
blk_-6289001686128460561,3
blk_6855535886504612774,5
blk_-6477590833521072407,5
blk_865453227320668516,-1
blk_2149728827322918746,5
blk_6324712740029479576,3
blk_6763863888784019261,3
blk_1543605971733759530,3
blk_-6114220623980201749,3
blk_-945770324989341170,-1
blk_-5145886774827574591,5
blk_3598904881888399067,5
blk_-6255015379143356507,5
blk_8247499802516177421,3
blk_-8403618945096094999,3
blk_-2012430628930443984,3
blk_7819984111120374407,5
blk_4499140370762613763,3
blk_2304296078821316612,3
blk_358331073189608564,5
blk_8404604116961181201,3
blk_-3582070652284403613,3
blk_-4954795063440871977,5
blk_-6640779266188771131,3
blk_3858015337960682724,3
blk_570916157110129687,5
blk_-7418499425236853516,5
blk_-7894824934989391122,3
blk_-5005618994659797504,5
blk_7932704730736035192,3
blk_-2834195813213005328,3
blk_-5972745462629982078,3
blk_-7111788899695387329,3
blk_-1110880362999960078,3
blk_6489659315944341351,5
blk_7324196727355442810,5
blk_-2589662411410634043,3
blk_8602496359012842630,5
blk_-133919539232421451,5
blk_-6136511938931864993,5
blk_8871064397020855320,5
blk_8483848473254499625,4
blk_-9188933731705791676,6
blk_-8898274302731129139,4
blk_-8014701913801168461,4
blk_-8775602795571523802,-1
blk_-7928230000822317050,4
blk_8303413189200230139,4
blk_-9038475355621289969,4
blk_4263664068073345850,6
blk_-8848810702648406400,4
blk_-6997219177553478996,1
blk_-2230892279625104430,8
blk_-7515058933811567980,4
blk_-8484827087450439270,4
blk_-8144387882075572886,4
blk_-8383503596684323017,4
blk_-8796256534683400159,4
blk_4098532420907418423,6
blk_-4368236874477798428,-1
blk_-4223625526513535681,4
blk_-6400421658804613208,4
blk_-5880591395067598620,4
blk_-7096508472270520039,4
blk_-1939956833921604216,4
blk_-3860035787700398391,4
blk_-6008397446568765070,4
blk_-2425070029518924403,4
blk_826351419727053015,4
blk_-3437475890798229344,4
blk_-1492402439215451727,4
blk_-4298255715894292387,4
blk_-4295805058711840933,4
blk_830855781964014378,4
blk_8291708741145026623,4
blk_-921231092429668424,4
blk_-1581605246928123722,4
blk_-2445347158368483245,4
blk_-1897524391075610396,4
blk_-8588908000680498,4
blk_561417755647618727,4
blk_-6127741703501838658,4
blk_-3636681193077858741,4
blk_-643763844763678010,4
blk_-2826763604408365998,4
blk_2278708746675870163,4
blk_153508158653341141,4
blk_-1775264355226395799,4
blk_-1599621098605751235,4
blk_-1111344660779690782,4
blk_3585588704565901062,4
blk_2756799797410851893,4
blk_7323287581932922676,4
blk_-4935573595350235765,6
blk_496376132244907301,8
blk_2731617036199392057,4
blk_7190156588310412626,4
blk_8189008752707332487,4
blk_6828263829429857572,4
